FID,SHAPE,NAME,ADRESSE,SE_SDO_ROWID,SE_ANNO_CAD_DATA,WEBLINK1
POLIZEIOGD.1065137,POINT (16.3798466497137 48.24355046566254),Polizeiinspektion Vorgartenstraße,"20., Vorgartenstraße 27",1065137,,http://www.polizei.gv.at/
POLIZEIOGD.1065138,POINT (16.385158038383864 48.213566162780836),Polizeiinspektion Tempelgasse,"2., Tempelgasse 5A",1065138,,http://www.polizei.gv.at/
POLIZEIOGD.1065140,POINT (16.43625137411287 48.24392417251856),Polizeiinspektion Wagramer Straße,"22., Wagramer Straße 89",1065140,,http://www.polizei.gv.at/
POLIZEIOGD.1065142,POINT (16.386393183680415 48.28741250451846),Polizeiinspektion Berlagasse,"21., Berlagasse 1",1065142,,http://www.polizei.gv.at/
POLIZEIOGD.1065143,POINT (16.42004083602703 48.2534907572401),Polizeiinspektion Donaufelder Straße,"21., Donaufelder Straße 99",1065143,,http://www.polizei.gv.at/
POLIZEIOGD.1065144,POINT (16.36321962057322 48.16970168156065),Polizeiinspektion Zohmanngasse,"10., Zohmanngasse 10",1065144,,http://www.polizei.gv.at/
POLIZEIOGD.1065145,POINT (16.355062488272612 48.20205139128985),Polizeiinspektion Stiftgasse,"7., Stiftgasse 2A",1065145,,http://www.polizei.gv.at/
POLIZEIOGD.1065146,POINT (16.284899318627335 48.16937095838025),Polizeiinspektion Speisinger Straße,"13., Speisinger Straße 46-48",1065146,,http://www.polizei.gv.at/
POLIZEIOGD.1065147,POINT (16.446962762892564 48.273865783593244),Polizeiinspektion Kürschnergasse,"21., Kürschnergasse 18C",1065147,,http://www.polizei.gv.at/
POLIZEIOGD.1065148,POINT (16.41133268770879 48.19730756486758),Polizeiinspektion Schüttelstraße,"2., Schüttelstraße 113",1065148,,http://www.polizei.gv.at/
POLIZEIOGD.1065149,POINT (16.39693015592111 48.138086419537665),Polizeiinspektion Oberlaaer Straße,"10., Oberlaaer Straße 87",1065149,,http://www.polizei.gv.at/
POLIZEIOGD.1064945,POINT (16.332991687437875 48.185111109472906),Polizeiinspektion Storchengasse,"15., Storchengasse 1",1064945,,http://www.polizei.gv.at/
POLIZEIOGD.1064946,POINT (16.328745765003916 48.18257868038259),Polizeiinspektion Hufelandgasse,"12., Hufelandgasse 4",1064946,,http://www.polizei.gv.at/
POLIZEIOGD.1064948,POINT (16.33588703203919 48.21011366747605),Polizeiinspektion Brunnengasse,"16., Brunnengasse 40",1064948,,http://www.polizei.gv.at/
POLIZEIOGD.1064949,POINT (16.35768946045173 48.18814934090008),Polizeiinspektion Viktor-Christ-Gasse,"5., Viktor-Christ-Gasse 19",1064949,,http://www.polizei.gv.at/
POLIZEIOGD.1065063,POINT (16.318556410861145 48.21360675914835),Stadtpolizeikommando Ottakring (16.u.17.Bezirk),"16., Wattgasse 15",1065063,,http://www.polizei.gv.at/
POLIZEIOGD.1065073,POINT (16.436352420534522 48.24387651080307),Stadtpolizeikommando Donaustadt (22.Bezirk),"22., Wagramer Straße 89",1065073,,http://www.polizei.gv.at/
POLIZEIOGD.1065075,POINT (16.35753382863888 48.18808838713953),"Stadtpolizeikommando Margareten (4.,5.u.6.Bezirk)","5., Viktor-Christ-Gasse 19",1065075,,http://www.polizei.gv.at/
POLIZEIOGD.1065081,POINT (16.413214916968453 48.17538253875128),Stadtpolizeikommando Simmering (11.Bezirk),"11., Enkplatz 3",1065081,,http://www.polizei.gv.at/
POLIZEIOGD.1065083,POINT (16.355908572892922 48.2475616013807),Stadtpolizeikommando Döbling (18.u.19.Bezirk),"19., Hohe Warte 32",1065083,,http://www.polizei.gv.at/
POLIZEIOGD.1065084,POINT (16.368293813523305 48.217393504988266),Stadtpolizeikommando Innere Stadt (1.Bezirk),"1., Deutschmeisterplatz 3",1065084,,http://www.polizei.gv.at/
POLIZEIOGD.1065092,POINT (16.281335182369993 48.1353486034205),Stadtpolizeikommando Liesing (23.Bezirk),"23., Lehmanngasse 3A",1065092,,http://www.polizei.gv.at/
POLIZEIOGD.1065093,POINT (16.36965762547641 48.17904546586222),Stadtpolizeikommando Favoriten (10.Bezirk),"10., Van-der-Nüll-Gasse 11",1065093,,http://www.polizei.gv.at/
POLIZEIOGD.1065102,POINT (16.393405242422983 48.19654811583286),Stadtpolizeikommando Landstraße (3.Bezirk),"3., Juchgasse 19",1065102,,http://www.polizei.gv.at/
POLIZEIOGD.1065119,POINT (16.36947677563747 48.233976175399945),Stadtpolizeikommando Brigittenau (2.u.20.Bezirk),"20., Pappenheimgasse 33",1065119,,http://www.polizei.gv.at/
POLIZEIOGD.1065127,POINT (16.39769040831295 48.260294917458744),Stadtpolizeikommando Floridsdorf (21.Bezirk),"21., Hermann-Bahr-Straße 3",1065127,,http://www.polizei.gv.at/
POLIZEIOGD.1065139,POINT (16.32887943493207 48.182577663574286),Stadtpolizeikommando Meidling (12.u.13.Bezirk),"12., Hufelandgasse 4",1065139,,http://www.polizei.gv.at/
POLIZEIOGD.1065141,POINT (16.33246594229112 48.1973940838256),Stadtpolizeikommando Fünfhaus (14.u.15.Bezirk),"15., Tannengasse 6-10",1065141,,http://www.polizei.gv.at/
POLIZEIOGD.1064947,POINT (16.347956544919978 48.21049750937645),"Stadtpolizeikommando Josefstadt (7.,8.u.9.Bezirk)","8., Fuhrmannsgasse 5",1064947,,http://www.polizei.gv.at/
