FID,OBJECTID,SHAPE,SE_ANNO_CAD_DATA
HYDRANTOGD.3323550,3323550,POINT (16.37131110229785 48.201217943627185),
HYDRANTOGD.3323551,3323551,POINT (16.26192545726015 48.15231654034743),
HYDRANTOGD.3323552,3323552,POINT (16.455812311092963 48.22927295612176),
HYDRANTOGD.3323553,3323553,POINT (16.33794714230273 48.19282369116906),
HYDRANTOGD.3323554,3323554,POINT (16.265540346359703 48.14778607213221),
HYDRANTOGD.3323555,3323555,POINT (16.42624674162631 48.17180004130404),
HYDRANTOGD.3323556,3323556,POINT (16.42708660583306 48.250903284556756),
HYDRANTOGD.3323557,3323557,POINT (16.373377005565544 48.17843165505858),
HYDRANTOGD.3323558,3323558,POINT (16.364133375472434 48.172804128096864),
HYDRANTOGD.3323559,3323559,POINT (16.29900166771347 48.21875281188273),
HYDRANTOGD.3323560,3323560,POINT (16.356001457467634 48.18394648879337),
HYDRANTOGD.3323561,3323561,POINT (16.52663591325385 48.20828295230431),
HYDRANTOGD.3323562,3323562,POINT (16.25486572694501 48.216474182934334),
HYDRANTOGD.3323563,3323563,POINT (16.510409584797543 48.21288854429192),
HYDRANTOGD.3323564,3323564,POINT (16.325676096901063 48.21427180351792),
HYDRANTOGD.3323565,3323565,POINT (16.34312140897874 48.19907897690459),
HYDRANTOGD.3323566,3323566,POINT (16.36917051307232 48.18928892392455),
HYDRANTOGD.3323567,3323567,POINT (16.351225121986623 48.22189007351779),
HYDRANTOGD.3323568,3323568,POINT (16.285813820312192 48.22039139574118),
HYDRANTOGD.3323569,3323569,POINT (16.364877299391445 48.223842704183845),
HYDRANTOGD.3323570,3323570,POINT (16.337321256631522 48.20749357066601),
HYDRANTOGD.3323571,3323571,POINT (16.24078811048316 48.21236977988602),
HYDRANTOGD.3323572,3323572,POINT (16.405376310032842 48.20241904751878),
HYDRANTOGD.3323573,3323573,POINT (16.347707950430653 48.18238620861802),
HYDRANTOGD.3323574,3323574,POINT (16.389773005748403 48.26297919051708),
HYDRANTOGD.3323575,3323575,POINT (16.42543963007057 48.25914545290746),
HYDRANTOGD.3323576,3323576,POINT (16.34625135829325 48.16923125111934),
HYDRANTOGD.3323577,3323577,POINT (16.469433451429513 48.222576709127544),
HYDRANTOGD.3323578,3323578,POINT (16.326673033390804 48.20109337616834),
HYDRANTOGD.3323579,3323579,POINT (16.335807443573692 48.224906772040825),
HYDRANTOGD.3323580,3323580,POINT (16.51776776623743 48.23103634503497),
HYDRANTOGD.3323581,3323581,POINT (16.284197570706464 48.19506417913939),
HYDRANTOGD.3323582,3323582,POINT (16.379099880969964 48.29285766326002),
